full_name,price_thb,description,make,engine_cc,horsepower_hp,gears,fuel_type,engine,brakes,drive,year,series,type
ฮอนด้า Honda Civic EL ปี 2022,"964,900 บาท","HONDA CIVIC EL ซีดาน เจเนอเรชั่น 11 สปอร์ตพรีเมียมซีดาน พัฒนาดีเอ็นเอความสปอร์ต พร้อมสร้างมาตรฐานใหม่ ด้วยดีไซน์ภายนอกสปอร์ตพรีเมียม เร้าใจด้วยรุ่น RS ดีไซน์สไตล์สปอร์ตแต่งพิเศษด้วยโทนสีดำรอบคัน พร้อมปลอกท่อไอเสียคู่ ภายในห้องโดยสารกว้างขวางสะดวกสบาย พร้อม 3 โหมดการขับให้เลือก และในทุกรุ่นย่อย ให้ความแรงด้วยเครื่องยนต์ VTEC TURBO 1.5 ลิตร ใหม่ เกียร์ CVT ติดตั้งเทคโนโลยีความปลอดภัยอัจฉริยะ ฮอนด้า เซนส์ซิ่ง (Honda SENSING) กับระบบใหม่ Lead Car Departure Notification System (LCDN) และครบครันด้วยเทคโนโลยีเพื่อความสะดวกสบายและความปลอดภัยล้ำสมัย  
. เครื่องยนต์ขนาด 1.5 ลิตร DOHC VTEC TURBO ใหม่ 4 สูบ 16 วาล์ว ได้พัฒนาไปอีกขั้นเพื่อเพิ่มประสิทธิภาพการทำงานของเครื่องยนต์ เสริมด้วย Turbo Charger ช่วยอัดอากาศเข้าสู่ห้องเผาไหม้เครื่องยนต์ได้เร็วขึ้น ให้กำลังสูงสุด 178 แรงม้า ที่ 6,000 รอบต่อนาที แรงบิดสูงสุด 240 นิวตัน-เมตร ที่ 1,700 - 4,500 รอบต่อนาที ส่งกำลังผ่านระบบเกียร์อัตโนมัติอัตราทดแปรผันต่อเนื่อง CVT ให้อัตราเร่งและอัตราการประหยัดน้ำมันสูงถึง 17.2 กิโลเมตร/ลิตร อีกทั้งยังรองรับพลังงานทางเลือก E85 พร้อม 3 โหมดการขับขี่ให้เลือก",Honda,1498,178,เกียร์ออโต้แบบ CVT,"เบนซิน 95 , เบนซิน 91 , แก๊สโซฮอล์ 95 (E10) , แก๊สโซฮอล์ 91 , เบนซิน E20 , เบนซิน E85",เครื่องยนต์ VTEC TURBO 1.5 ลิตร ใหม่ เกียร์ CVT กำลังสูงสุด 178 แรงม้า อัตราการประหยัดน้ำมันเคลมไว้ 17.2 กม./ลิตร รองรับ E85 นอกจากนี้ได้ติดตั้งเทคโนโลยีความปลอดภัยอัจฉริยะ ฮอนด้า เซนส์ซิ่ง (Honda SENSING),มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนล้อหน้า,2022,Civic EL,Sedan
ฮอนด้า Honda CR-V e:HEV RS 4WD ปี 2023,"1,729,000 บาท","HONDA CR-V e:HEV RS 4WD สปอร์ตพรีเมียม เจเนอเรชันที่ 6 โดดเด่นด้วยชุดตกแต่งภายในที่พรีเมียม แตกต่างกันในแต่ละรุ่น เสริมเอกลักษณ์เฉพาะรุ่น ด้วยสัญลักษณ์ RS บนกระจังหน้า กระจกมองข้างพร้อมไฟเลี้ยวสีดำ Piano Black กันชนหน้าและหลังสีเดียวกับตัวรถ ชายกันกระแทกด้านข้างสีเดียวกับตัวรถ คิ้วตกแต่งประตูข้างสีดำ Gloss Black ไฟตัดหมอกหลังแบบ LED สปอยเลอร์หลังสีเดียวกับตัวรถและสีดำ Piano Black เสาอากาศครีบฉลามสีดำ Piano Black ล้ออัลลอย 19 นิ้ว แบบสปอร์ต และล้ออัลลอยดีไซน์ใหม่ ขนาด 19 นิ้ว ภายในเบาะหนังกลับและวัสดุสังเคราะห์ตกแต่งด้วยด้ายสีแดง แป้นเหยียบคันเร่งและเบรกแบบสปอร์ต ประตูแบบอัจฉริยะ Honda Smart Key Card เครื่องยนต์ใหม่ขนาด 2.0 ลิตร Direct Injection Atkinson-Cycle DOHC 4 สูบ 16 วาล์ว พร้อมเกียร์อัตโนมัติอัตราทดแปรผันต่อเนื่องไฟฟ้า (E-CVT) และแบตเตอรี่ลิเธียม-ไอออนที่มีประสิทธิภาพสูง ตอบสนองทันใจด้วยแรงบิดมอเตอร์สูงสุด 335 นิวตัน-เมตร ที่ 0 - 2,000 รอบต่อนาที พร้อม 3 โหมดขับขี่ ได้แก่ โหมดการขับขี่ด้วยมอเตอร์ไฟฟ้า (EV Drive Mode) โหมดการขับขี่ด้วยระบบไฮบริด (Hybrid Drive Mode) และโหมดการขับขี่ด้วยเครื่องยนต์ (Engine Drive Mode) โดยมีให้เลือกทั้งหมด 6 สี ได้แก่ สีใหม่ สีน้ำเงินแคนยอนริเวอร์ (เมทัลลิก) เฉพาะรุ่น e:HEV RS 4WD และ e:HEV ES สีแดงอิกไนต์ (เมทัลลิก) เฉพาะรุ่น e:HEV RS 4WD สีขาวแพลทินัม (มุก) สีเทาเมทิเออรอยด์ (เมทัลลิก) สีเงินลูนาร์ (เมทัลลิก) และสีดำคริสตัล (มุก)",Honda,1993,207,เกียร์อัตโนมัติ,"เบนซิน 95 , เบนซิน 91 , แก๊สโซฮอล์ 95 (E10) , แก๊สโซฮอล์ 91 , เบนซิน E20 , เบนซิน E85",2.0 ลิตร Direct Injection Atkinson-Cycle DOHC 4 สูบ 16 วาล์ว กำลังสูงสุด 148 แรงม้า แรงบิด 183 นิวตันเมตร พร้อมด้วยเกียร์อัตโนมัติอัตราทดแปรผันต่อเนื่องไฟฟ้า (E-CVT) และแบตเตอรี่ลิเธียม-ไอออน ระบบขับเคลื่อนฟูลไฮบริด มอเตอร์ไฟฟ้า 2 ตัว กำลังสูงสุด 184 แรงม้า แรงบิดสูงสุด 338 นิวตัน-เมตร กำลังรวมทั้ง 2 ระบบ 207 แรงม้า (PS),มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนสี่ล้อ,2023,CR-V e:HEV RS 4WD,SUV
ฮอนด้า Honda CR-V EL 4WD 7 Seat ปี 2023,"1,649,000 บาท","HONDA CR-V EL 4WD สปอร์ตพรีเมียม เจเนอเรชันที่ 6 กระจังหน้าดีไซน์ใหม่สีดำ Piano Black และกระจังหน้าสีดำ Piano Black ตกแต่งด้วยโครเมียม (เฉพาะรุ่น E) กระจกมองข้างพร้อมไฟเลี้ยว ปรับไฟฟ้าพร้อมพับเก็บอัตโนมัติ ไฟหน้าและไฟส่องสว่างสำหรับการขับขี่ในเวลากลางวันแบบ LED และไฟเลี้ยวด้านหน้าแบบ LED Sequential ไฟตัดหมอกคู่หน้าแบบ LED ไฟท้ายแบบ LED เปิดมุมมองใหม่ที่พรีเมียมยิ่งขึ้นกับหลังคาซันรูฟไฟฟ้าแบบพาโนรามา (Panoramic Sunroof) สะดวกสบายยิ่งขึ้นด้วย ฝากระโปรงท้ายเปิด-ปิดด้วยระบบไฟฟ้าแบบแฮนด์ฟรี พร้อมระบบปิดอัตโนมัติเมื่อกุญแจรีโมทอยู่ห่างจากตัวรถ (Hands-Free Power Tailgate with Walk Away Close) เสาอากาศครีบฉลาม ปลอกท่อไอเสียสเตนเลสคู่ ล้ออัลลอย 18 นิ้ว เครื่องยนต์เบนซินขนาด 1.5 ลิตร Direct Injection DOHC VTEC TURBO 4 สูบ 16 วาล์ว ที่มาพร้อมเทคโนโลยี Direct Injection และ Turbocharger กำลังสูงสุด 190 แรงม้า ที่ 6,000 รอบต่อนาที ผสานการทำงานกับเกียร์อัตโนมัติอัตราทดแปรผันต่อเนื่อง (CVT) และมีอัตราการประหยัดน้ำมันสูงสุด 14.3 กม./ลิตร* (รุ่น E) และรองรับน้ำมัน E85 โดยมีให้เลือกทั้งหมด 6 สี ได้แก่ สีใหม่ สีน้ำเงินแคนยอนริเวอร์ (เมทัลลิก) เฉพาะรุ่น e:HEV RS 4WD และ e:HEV ES สีแดงอิกไนต์ (เมทัลลิก) เฉพาะรุ่น e:HEV RS 4WD สีขาวแพลทินัม (มุก) สีเทาเมทิเออรอยด์ (เมทัลลิก) สีเงินลูนาร์ (เมทัลลิก) และสีดำคริสตัล (มุก)",Honda,1498,190,เกียร์อัตโนมัติ,"เบนซิน 95 , เบนซิน 91 , แก๊สโซฮอล์ 95 (E10) , แก๊สโซฮอล์ 91 , เบนซิน E20 , เบนซิน E85","เครื่องยนต์เบนซินขนาด 1.5 ลิตร Direct Injection DOHC VTEC TURBO 4 สูบ 16 วาล์ว ที่มาพร้อมเทคโนโลยี Direct Injection และ Turbocharger กำลังสูงสุด 190 แรงม้า ที่ 6,000 รอบต่อนาที แรงบิด 240 นิวตันเมตร ที่ 1,700 - 5,000 รอบต่อนาที ผสานการทำงานกับเกียร์อัตโนมัติอัตราทดแปรผันต่อเนื่อง (CVT) และมีอัตราการประหยัดน้ำมันสูงสุด 14.3 กม./ลิตร* (รุ่น E) และรองรับน้ำมัน E85",มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนสี่ล้อ,2023,CR-V EL 4WD 7 Seat,SUV
ฮอนด้า Honda CR-V ES 4WD ปี 2023,"1,599,000 บาท","HONDA CR-V ES 4WD สปอร์ตพรีเมียม เจเนอเรชันที่ 6 กระจังหน้าดีไซน์ใหม่สีดำ Piano Black และกระจังหน้าสีดำ Piano Black ตกแต่งด้วยโครเมียม (เฉพาะรุ่น E) กระจกมองข้างพร้อมไฟเลี้ยว ปรับไฟฟ้าพร้อมพับเก็บอัตโนมัติ ไฟหน้าและไฟส่องสว่างสำหรับการขับขี่ในเวลากลางวันแบบ LED และไฟเลี้ยวด้านหน้าแบบ LED Sequential ไฟตัดหมอกคู่หน้าแบบ LED ไฟท้ายแบบ LED เปิดมุมมองใหม่ที่พรีเมียมยิ่งขึ้นกับหลังคาซันรูฟไฟฟ้าแบบพาโนรามา (Panoramic Sunroof) สะดวกสบายยิ่งขึ้นด้วย ฝากระโปรงท้ายเปิด-ปิดด้วยระบบไฟฟ้าแบบแฮนด์ฟรี พร้อมระบบปิดอัตโนมัติเมื่อกุญแจรีโมทอยู่ห่างจากตัวรถ (Hands-Free Power Tailgate with Walk Away Close) เสาอากาศครีบฉลาม ปลอกท่อไอเสียสเตนเลสคู่ ล้ออัลลอย 18 นิ้ว เครื่องยนต์เบนซินขนาด 1.5 ลิตร Direct Injection DOHC VTEC TURBO 4 สูบ 16 วาล์ว ที่มาพร้อมเทคโนโลยี Direct Injection และ Turbocharger กำลังสูงสุด 190 แรงม้า ที่ 6,000 รอบต่อนาที ผสานการทำงานกับเกียร์อัตโนมัติอัตราทดแปรผันต่อเนื่อง (CVT) และมีอัตราการประหยัดน้ำมันสูงสุด 14.3 กม./ลิตร* (รุ่น E) และรองรับน้ำมัน E85 โดยมีให้เลือกทั้งหมด 6 สี ได้แก่ สีใหม่ สีน้ำเงินแคนยอนริเวอร์ (เมทัลลิก) เฉพาะรุ่น e:HEV RS 4WD และ e:HEV ES สีแดงอิกไนต์ (เมทัลลิก) เฉพาะรุ่น e:HEV RS 4WD สีขาวแพลทินัม (มุก) สีเทาเมทิเออรอยด์ (เมทัลลิก) สีเงินลูนาร์ (เมทัลลิก) และสีดำคริสตัล (มุก)",Honda,1498,190,เกียร์อัตโนมัติ,"เบนซิน 95 , เบนซิน 91 , แก๊สโซฮอล์ 95 (E10) , แก๊สโซฮอล์ 91 , เบนซิน E20 , เบนซิน E85","เครื่องยนต์เบนซินขนาด 1.5 ลิตร Direct Injection DOHC VTEC TURBO 4 สูบ 16 วาล์ว ที่มาพร้อมเทคโนโลยี Direct Injection และ Turbocharger กำลังสูงสุด 190 แรงม้า ที่ 6,000 รอบต่อนาที แรงบิด 240 นิวตันเมตร ที่ 1,700 - 5,000 รอบต่อนาที ผสานการทำงานกับเกียร์อัตโนมัติอัตราทดแปรผันต่อเนื่อง (CVT) และมีอัตราการประหยัดน้ำมันสูงสุด 14.3 กม./ลิตร* (รุ่น E) และรองรับน้ำมัน E85",มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนสี่ล้อ,2023,CR-V ES 4WD,SUV
ฮอนด้า Honda-CR-V e:HEV ES-ปี 2023,"1,589,000 บาท","HONDA CR-V e:HEV ES 4WD สปอร์ตพรีเมียม เจเนอเรชันที่ 6 กระจังหน้าดีไซน์ใหม่สีดำ Piano Black และกระจังหน้าสีดำ Piano Black ตกแต่งด้วยโครเมียม (เฉพาะรุ่น E) กระจกมองข้างพร้อมไฟเลี้ยว ปรับไฟฟ้าพร้อมพับเก็บอัตโนมัติ ไฟหน้าและไฟส่องสว่างสำหรับการขับขี่ในเวลากลางวันแบบ LED และไฟเลี้ยวด้านหน้าแบบ LED Sequential ไฟตัดหมอกคู่หน้าแบบ LED ไฟท้ายแบบ LED เปิดมุมมองใหม่ที่พรีเมียมยิ่งขึ้นกับหลังคาซันรูฟไฟฟ้าแบบพาโนรามา (Panoramic Sunroof) สะดวกสบายยิ่งขึ้นด้วย ฝากระโปรงท้ายเปิด-ปิดด้วยระบบไฟฟ้าแบบแฮนด์ฟรี พร้อมระบบปิดอัตโนมัติเมื่อกุญแจรีโมทอยู่ห่างจากตัวรถ (Hands-Free Power Tailgate with Walk Away Close) เสาอากาศครีบฉลาม ปลอกท่อไอเสียสเตนเลสคู่ ล้ออัลลอย 18 นิ้ว เครื่องยนต์ใหม่ขนาด 2.0 ลิตร Direct Injection Atkinson-Cycle DOHC 4 สูบ 16 วาล์ว พร้อมเกียร์อัตโนมัติอัตราทดแปรผันต่อเนื่องไฟฟ้า (E-CVT) และแบตเตอรี่ลิเธียม-ไอออนที่มีประสิทธิภาพสูง ตอบสนองทันใจด้วยแรงบิดมอเตอร์สูงสุด 335 นิวตัน-เมตร ที่ 0 - 2,000 รอบต่อนาที พร้อม 3 โหมดขับขี่ ได้แก่ โหมดการขับขี่ด้วยมอเตอร์ไฟฟ้า (EV Drive Mode) โหมดการขับขี่ด้วยระบบไฮบริด (Hybrid Drive Mode) และโหมดการขับขี่ด้วยเครื่องยนต์ (Engine Drive Mode) โดยมีให้เลือกทั้งหมด 6 สี ได้แก่ สีใหม่ สีน้ำเงินแคนยอนริเวอร์ (เมทัลลิก) เฉพาะรุ่น e:HEV RS 4WD และ e:HEV ES สีแดงอิกไนต์ (เมทัลลิก) เฉพาะรุ่น e:HEV RS 4WD สีขาวแพลทินัม (มุก) สีเทาเมทิเออรอยด์ (เมทัลลิก) สีเงินลูนาร์ (เมทัลลิก) และสีดำคริสตัล (มุก)",Honda,1993,207,เกียร์อัตโนมัติ,"เบนซิน 95 , เบนซิน 91 , แก๊สโซฮอล์ 95 (E10) , แก๊สโซฮอล์ 91 , เบนซิน E20 , เบนซิน E85",เบนซิน 2.0 ลิตร Direct Injection Atkinson-Cycle DOHC 4 สูบ 16 วาล์ว กำลังสูงสุด 148 แรงม้า แรงบิด 183 นิวตันเมตร พร้อมด้วยเกียร์อัตโนมัติอัตราทดแปรผันต่อเนื่องไฟฟ้า (E-CVT) และแบตเตอรี่ลิเธียม-ไอออน ระบบขับเคลื่อนฟูลไฮบริด มอเตอร์ไฟฟ้า 2 ตัว กำลังสูงสุด 184 แรงม้า แรงบิดสูงสุด 338 นิวตัน-เมตร กำลังรวมทั้ง 2 ระบบ 207 แรงม้า (PS),มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนล้อหน้า,2023,Honda-CR-V e:HEV ES-,SUV
ฮอนด้า Honda CR-V E ปี 2023,"1,419,000 บาท","HONDA CR-V E สปอร์ตพรีเมียม เจเนอเรชันที่ 6 กระจังหน้าดีไซน์ใหม่ตกแต่งด้วยโครเมียม กระจกมองข้างพร้อมไฟเลี้ยว ปรับไฟฟ้าพร้อมพับเก็บอัตโนมัติ ไฟหน้าและไฟส่องสว่างสำหรับการขับขี่ในเวลากลางวันแบบ LED และไฟเลี้ยวด้านหน้าแบบ LED Sequential ไฟตัดหมอกคู่หน้าแบบ LED ไฟท้ายแบบ LED เปิดมุมมองใหม่ที่พรีเมียมยิ่งขึ้นกับหลังคาซันรูฟไฟฟ้าแบบพาโนรามา (Panoramic Sunroof) สะดวกสบายยิ่งขึ้นด้วย ฝากระโปรงท้ายเปิด-ปิดด้วยระบบไฟฟ้าแบบแฮนด์ฟรี พร้อมระบบปิดอัตโนมัติเมื่อกุญแจรีโมทอยู่ห่างจากตัวรถ (Hands-Free Power Tailgate with Walk Away Close) เสาอากาศครีบฉลาม ปลอกท่อไอเสียสเตนเลสคู่ ล้ออัลลอย 18 นิ้ว เครื่องยนต์เบนซินขนาด 1.5 ลิตร Direct Injection DOHC VTEC TURBO 4 สูบ 16 วาล์ว ที่มาพร้อมเทคโนโลยี Direct Injection และ Turbocharger กำลังสูงสุด 190 แรงม้า ที่ 6,000 รอบต่อนาที ผสานการทำงานกับเกียร์อัตโนมัติอัตราทดแปรผันต่อเนื่อง (CVT) และมีอัตราการประหยัดน้ำมันสูงสุด 14.3 กม./ลิตร* (รุ่น E) และรองรับน้ำมัน E85 โดยมีให้เลือกทั้งหมด 6 สี ได้แก่ สีใหม่ สีน้ำเงินแคนยอนริเวอร์ (เมทัลลิก) เฉพาะรุ่น e:HEV RS 4WD และ e:HEV ES สีแดงอิกไนต์ (เมทัลลิก) เฉพาะรุ่น e:HEV RS 4WD สีขาวแพลทินัม (มุก) สีเทาเมทิเออรอยด์ (เมทัลลิก) สีเงินลูนาร์ (เมทัลลิก) และสีดำคริสตัล (มุก)",Honda,1498,190,เกียร์อัตโนมัติ,"เบนซิน 95 , เบนซิน 91 , แก๊สโซฮอล์ 95 (E10) , แก๊สโซฮอล์ 91 , เบนซิน E20 , เบนซิน E85","เครื่องยนต์เบนซินขนาด 1.5 ลิตร Direct Injection DOHC VTEC TURBO 4 สูบ 16 วาล์ว ที่มาพร้อมเทคโนโลยี Direct Injection และ Turbocharger กำลังสูงสุด 190 แรงม้า ที่ 6,000 รอบต่อนาที แรงบิด 240 นิวตันเมตร ที่ 1,700 - 5,000 รอบต่อนาที ผสานการทำงานกับเกียร์อัตโนมัติอัตราทดแปรผันต่อเนื่อง (CVT) และมีอัตราการประหยัดน้ำมันสูงสุด 14.3 กม./ลิตร* (รุ่น E) และรองรับน้ำมัน E85",มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนล้อหน้า,2023,CR-V E,SUV
ฮอนด้า Honda Mobilio RS AT ปี 2017,"763,000 บาท","ฮอนด้า โมบิลิโอ ใหม่ ยนตรกรรมอเนกประสงค์ขนาดซับคอมแพคท์ มาพร้อมความหรูหราที่มากยิ่งขึ้นด้วยดีไซน์ใหม่ทั้งภายนอกและภายใน รวมถึงอุปกรณ์อำนวยความสะดวกสบาย และมาตรฐานความปลอดภัยที่ครบครันยิ่งขึ้น ห้องโดยสารที่กว้างขวาง และพื้นที่ใช้สอยที่รองรับทุกการใช้งาน เพื่อช่วยยกระดับไลฟ์สไตล์คนเมืองยุคใหม่ให้ลงตัวกับทุกจังหวะของชีวิตเมืองได้อย่างสมบูรณ์แบบ ด้านเครื่องยนต์เป็น SOHC i-VTEC 1.5 ลิตร 117 แรงม้า ที่ 6,000 รอบต่อนาที แรงบิดสูงสุด 146 นิวตัน-เมตร ที่ 4,700 รอบต่อนาที ผสานระบบเกียร์อัตโนมัติแบบ CVT ใหม่ ที่พัฒนาภายใต้ Earth Dreams Technology ให้อัตราการประหยัดน้ำมันและตอบสนองทุกการขับขี่อย่างดีเยี่ยม ทั้งยังรองรับพลังงานทางเลือก E85 นอกจากนี้ ยังติดตั้งเทคโนโลยีความปลอดภัยครบครันยิ่งขึ้น อาทิ โครงสร้างตัวถังนิรภัย G-Force Control หรือ G-CON ปกป้องห้องโดยสารจากการชนรอบทิศทาง ถุงลมคู่หน้า Dual SRS ระบบช่วยควบคุมการทรงตัวขณะเข้าโค้ง (VSA) ระบบช่วยการออกตัวขณะอยู่บนทางลาดชัน (HSA) ระบบเบรกป้องกันล้อล็อก (ABS) ระบบกระจายแรงเบรก (EBD) และกล้องส่องภาพด้านหลัง รุ่น RS สปอร์ตเร้าใจในทุกมุมมองด้วยดีไซน์สปอร์ตรอบคัน ด้วยกระจังหน้าดีไซน์ใหม่แบบ Gloss Black โฉบเฉี่ยวยิ่งขึ้นด้วยไฟหน้าดีไซน์ใหม่แบบมัลติรีเฟล็กเตอร์พร้อมไฟหรี่แบบ LED ไฟตัดหมอกคู่หน้าพร้อมกันชนหน้าแบบสปอร์ต สเกิร์ตข้าง กันชนหลังแบบสปอร์ต พร้อมปลอกท่อไอเสียแบบสเตนเลส สปอยเลอร์หลังพร้อมไฟเบรกดวงที่ 3 แบบ LED ล้ออัลลอยลายใหม่ขนาด 15 นิ้วแบบ RS และสัญลักษณ์ RS บนกระจังด้านหน้าและฝากระโปรงท้าย",Honda,1497,117,เกียร์ออโต้แบบ CVT,"เบนซิน 95 , เบนซิน 91 , แก๊สโซฮอล์ 95 (E10) , แก๊สโซฮอล์ 91 , เบนซิน E20 , เบนซิน E85",เบนซิน 4 สูบ SOHC 16 วาล์ว i-VTEC,มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนล้อหน้า,2017,Mobilio RS AT,Other
ฮอนด้า Honda Mobilio V AT 7 Seat ปี 2017,"699,000 บาท","Honda Mobilio รถอเนกประสงค์เพื่อการใช้งานทุกรูปแบบ ขนาด 7 ที่นั่ง พร้อมพื้นที่บรรทุกสัมภาระที่มากขึ้น ภายในคงความทันสมัยเช่นเดิม คอนโซลแบบใหม่ พวงมาลัยแบบ 3 ก้าน เบาะนั่งทรงกระชับ เบาะแถว 2 ปรับและพับแนบราบได้ เบาะแถว 3 พับแบนราบได้เช่นกัน และสามารถนั่งได้สะดวกสบายอีกด้วย Honda Mobilio เครื่องยนต์ SOHC i-VTEC  1.5 ลิตร 117 แรงม้า ที่ 6,000 รอบต่อนาที แรงบิดสูงสุด 146 นิวตัน-เมตร ที่ 4,700 รอบต่อนาที ผสานระบบเกียร์อัตโนมัติแบบ CVT ใหม่ ที่พัฒนาภายใต้ Earth Dreams Technology ให้อัตราการประหยัดน้ำมันและตอบสนองทุกการขับขี่อย่างดีเยี่ยม ทั้งยังรองรับพลังงานทางเลือก E85 นอกจากนี้ ยังติดตั้งเทคโนโลยีความปลอดภัยครบครันยิ่งขึ้น เช่น โครงสร้างตัวถังนิรภัย G-Force Control หรือ G-CON ปกป้องห้องโดยสารจากการชนรอบทิศทาง  ถุงลมคู่หน้า Dual SRS  ระบบช่วยควบคุมการทรงตัวขณะเข้าโค้ง (VSA) ระบบช่วยการออกตัวขณะอยู่บนทางลาดชัน (HSA) ระบบเบรกป้องกันล้อล็อก (ABS)  ระบบกระจายแรงเบรก (EBD)  และกล้องส่องภาพด้านหลัง ฮอนด้า โมบิลิโอ ใหม่ ยังมีระบบความปลอดภัยครบครัน เช่น โครงสร้างตัวถังแบบ G-Force Control (G-CON) ระบบเบรกป้องกันล้อล็อก (ABS) พร้อมระบบกระจายแรงเบรก (EBD) ถุงลมคู่หน้า (Dual SRS) ระบบช่วยเหลือการทรงตัว (VSA) ระบบช่วยออกตัวขณะขับขี่บนทางลาดชัน (Hill Start Assist) และไฟเบรกดวงที่ 3 แบบ LED",Honda,1497,117,เกียร์ออโต้แบบ CVT,"เบนซิน 95 , เบนซิน 91 , แก๊สโซฮอล์ 95 (E10) , แก๊สโซฮอล์ 91 , เบนซิน E20 , เบนซิน E85",4 สูบ SOHC 16 วาล์ว i-VTEC,มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนล้อหน้า,2017,Mobilio V AT 7 Seat,MPV
ฮอนด้า Honda Mobilio S AT 5 Seat ปี 2017,"659,000 บาท","Honda Mobilio รถอเนกประสงค์เพื่อการใช้งานทุกรูปแบบ ขนาด 5 ที่นั่ง พร้อมพื้นที่บรรทุกสัมภาระที่มากขึ้น ภายในคงความทันสมัยเช่น เดิม คอนโซลแบบใหม่ พวงมาลัยแบบ 3 ก้าน เบาะนั่งทรงกระชับ เบาะแถว 2 ปรับและพับแนบราบได้ Honda Mobilio เครื่องยนต์ SOHC  i-VTEC  1.5 ลิตร 117 แรงม้า ที่ 6,000 รอบต่อนาที แรงบิดสูงสุด 146 นิวตัน-เมตร ที่ 4,700 รอบต่อนาที ผสานระบบเกียร์อัตโนมัติแบบ CVT ใหม่ ที่พัฒนาภายใต้ Earth Dreams Technology ให้อัตราการประหยัดน้ำมันและตอบสนองทุกการขับขี่อย่างดีเยี่ยม ทั้งยังรองรับพลังงานทางเลือก E85 นอกจากนี้ ยังติดตั้งเทคโนโลยีความปลอดภัยครบครันยิ่งขึ้น เช่น โครงสร้างตัวถังนิรภัย G-Force Control หรือ G-CON ปกป้องห้องโดยสารจากการชนรอบทิศทาง  ถุงลมคู่หน้า Dual SRS  ระบบช่วยควบคุมการทรงตัวขณะเข้าโค้ง (VSA) ระบบช่วยการออกตัวขณะอยู่บนทางลาดชัน (HSA) ระบบเบรกป้องกันล้อล็อก (ABS)  ระบบกระจายแรงเบรก (EBD)  และกล้องส่องภาพด้านหลัง ฮอนด้า โมบิลิโอ ใหม่ ยังมีระบบความปลอดภัยครบครัน เช่น โครงสร้างตัวถังแบบ G-Force Control (G-CON) ระบบเบรกป้องกันล้อล็อก (ABS) พร้อมระบบกระจายแรงเบรก (EBD) ถุงลมคู่หน้า (Dual SRS) ระบบช่วยเหลือการทรงตัว (VSA) ระบบช่วยออกตัวขณะขับขี่บนทางลาดชัน (Hill Start Assist) และไฟเบรกดวงที่ 3 แบบ LED",Honda,1497,117,เกียร์ออโต้แบบ CVT,"เบนซิน 95 , เบนซิน 91 , แก๊สโซฮอล์ 95 (E10) , แก๊สโซฮอล์ 91 , เบนซิน E20 , เบนซิน E85",4 สูบ SOHC 16 วาล์ว i-VTEC,มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนล้อหน้า,2017,Mobilio S AT 5 Seat,Other
อีซูซุ Isuzu D-MAX X-Series Hi-Lander 4-Door 2.2 Ddi Z A/T ปี 2024,"1,041,000 บาท","ISUZU X-SERIES Hi-Lander 4-Door 2.2 Ddi Z A/T มากับไฟหน้า Bi-Beam LED พร้อม Multi Functional Daylight, ไฟตัดหมอกหน้า LED, แอร์แบคคู่, ระบบเบรก ABS/EBD และ BA พร้อม ESC/TCS/HSA/HDC/BOS, พวงมาลัย Multifunction พร้อม Cruise Control และ PADDLE SHIFT(รุ่นเกียร์อัตโนมัติ), เครื่องเสียงหน้าจอขนาด 8 นิ้ว รองรับระบบ Wireless Apple CarPlay และ Wireless Android Auto, กล้องมองภาพขณะถอยจอด, สัญญาณไฟฉุกเฉินอัตโนมัติขณะเบรกกะทันหัน ESS , ระบบล็อกรถอัตโนมัติเมื่อกุญแจรีโมทอยู่ห่างจากตัวรถ (Walk Away Auto Lock) และระบบ Push Start พร้อม Isuzu Genius Entry,  สปอร์ตบาร์พร้อมพื้นปูกระบะ, ชุดเสกิร์ตด้านหน้าและด้านท้าย, ล้ออัลลอยสี Glossy Balck ขนาด 18 นิ้ว",Isuzu,2164,163,เกียร์ออโต้ 8AT,"ดีเซล , ไบโอดีเซล B5 , ไบโอดีเซล B20",RZ4F-TC แบบ 4 สูบ แถวเรียง 16 วาล์ว DOHC คอมมอนเรลไดเร็คอินเจคชั่น พร้อม VGS เทอร์โบและอินเตอร์คูลเลอร์,มี (พร้อมระบบกระจายแรงเบรค EBD และระบบช่วยเบรก BA),ขับเคลื่อนล้อหลัง,2024,D-MAX X-Series Hi-Lander 4-Door 2.2 Ddi Z A/T,Pickup
